Artiest,Titel,Starttijd,Eindtijd,Vrouw?,Kanaal
Gil Scott-Heron,I Think I'll Call It Morning,2024-02-25T01:52:26,2024-02-25T01:55:54,False,2
Michael Buble,Home,2024-02-25T01:54:21,2024-02-25T01:57:21,False,Sky
Gotye ft. Kimbra,Somebody That I Used To Know,2024-02-25T01:53:40,2024-02-25T01:57:43,False,3
Enrique Iglesias,Tired Of Being Sorry,2024-02-25T01:55:56,2024-02-25T01:58:56,False,10
Grace Jones,Slave to the rhythm,2024-02-25T01:55:50,2024-02-25T02:00:14,True,2
Hot Chocolate,Emma,2024-02-25T01:56:12,2024-02-25T02:00:04,False,5
Sia,Never Give Up,2024-02-25T01:57:59,2024-02-25T02:00:59,True,Sky
Jungle,Back On 74,2024-02-25T01:57:44,2024-02-25T02:01:13,False,3
Stevie Wonder,Another Star,2024-02-25T02:00:03,2024-02-25T02:05:16,False,Veronica
Marvin Gaye & Kim Weston,It Takes Two,2024-02-25T02:02:14,2024-02-25T02:05:08,False,5
Madonna,Like A Virgin,2024-02-25T02:01:55,2024-02-25T02:04:55,True,10
Craig David,Fill Me In,2024-02-25T02:02:08,2024-02-25T02:06:24,False,2
Menno Barreveld,Het Beste Van Tomorrowland,2024-02-25T02:03:16,2024-02-25T02:06:16,False,Q
Lewis Capaldi,Wish You The Best,2024-02-25T02:03:49,2024-02-25T02:06:49,False,Sky
Kings Of Leon,Sex on Fire,2024-02-25T02:03:08,2024-02-25T02:06:32,False,3
Mark Ronson Ft. Miley Cyrus,Nothing Breaks Like A Heart,2024-02-25T02:04:57,2024-02-25T02:07:57,False,10
Chumbawamba,Tubthumping,2024-02-25T02:06:06,2024-02-25T02:09:37,False,Veronica
Shocking Blue,Blossom Lady,2024-02-25T02:05:03,2024-02-25T02:08:37,False,5
Meters,Cissy Strut,2024-02-25T02:06:10,2024-02-25T02:09:16,False,2
Chef'Special,Speed of Light,2024-02-25T02:06:32,2024-02-25T02:09:46,False,3
Ariana Grande Ft Zedd,Break Free,2024-02-25T02:07:17,2024-02-25T02:10:17,False,Sky
Michael Jackson,Heal The World,2024-02-25T02:08:35,2024-02-25T02:11:35,False,10
Terence Trent D'Arby,If You Let Me Stay,2024-02-25T02:08:44,2024-02-25T02:11:57,False,5
Calvin Harris & Pharrell & Katy Perry & Big Sean,Feels,2024-02-25T02:10:24,2024-02-25T02:14:07,False,Veronica
Amos Lee,Arms of a woman,2024-02-25T02:09:07,2024-02-25T02:13:18,False,2
Ed Sheeran,American Town,2024-02-25T02:10:35,2024-02-25T02:13:35,False,Sky
Anna-Rose Clayton,Did U Notice Me?,2024-02-25T02:11:35,2024-02-25T02:14:13,True,3
Douwe Bob,Nothing To Lose,2024-02-25T02:11:51,2024-02-25T02:14:55,False,5
Banners,Someone To You,2024-02-25T02:13:52,2024-02-25T02:16:52,False,Sky
Boney M,Ma Baker,2024-02-25T02:13:01,2024-02-25T02:16:01,False,10
Van Morrison,Moondance,2024-02-25T02:14:41,2024-02-25T02:19:12,False,Veronica
MC Hammer,U Can't Touch This,2024-02-25T02:13:25,2024-02-25T02:17:37,False,2
Arctic Monkeys,Fluorescent Adolescent,2024-02-25T02:14:18,2024-02-25T02:17:15,False,3
Status Quo,Down Down,2024-02-25T02:14:50,2024-02-25T02:18:40,False,5
Milow,You Don't Know,2024-02-25T02:17:06,2024-02-25T02:20:06,False,10
Eric Carmen,Hungry Eyes,2024-02-25T02:17:31,2024-02-25T02:20:31,False,Sky
Terence Trent D'arby,Dance Little Sister,2024-02-25T02:19:14,2024-02-25T02:23:07,False,Veronica
Otis Redding,The Happy Song (Dum-Dum-De-De-De-Dum-Dum),2024-02-25T02:17:31,2024-02-25T02:20:13,False,2
First Aid Kit,My Silver Lining,2024-02-25T02:18:36,2024-02-25T02:22:05,True,5
France Gall,Ella elle L'a,2024-02-25T02:19:49,2024-02-25T02:22:49,True,10
Dua Lipa,Houdini,2024-02-25T02:21:18,2024-02-25T02:24:18,True,Sky
Jimmy Bo Horne,Let Me (Let Me Be Your Lover),2024-02-25T02:20:02,2024-02-25T02:23:29,False,2
Eros Ramazzotti,Terra Promessa,2024-02-25T02:22:00,2024-02-25T02:25:44,False,5
Jack Johnson,Upside Down,2024-02-25T02:23:34,2024-02-25T02:27:02,False,Veronica
The Script,I Want It All,2024-02-25T02:22:05,2024-02-25T02:25:09,False,3
Niall Horan,Slow Hands,2024-02-25T02:24:19,2024-02-25T02:27:19,False,Sky
